episode,total_reward,steps,overloads_total,max_severity,avg_util_mean,total_shed,acts_0,acts_1,acts_2,acts_3,eps,loss_mean
1,-84905.56,8760,513,2.4602,0.0956,627771.0,3498,1763,1747,1752,0.5839,6.670116
2,-111299.83,8760,2210,1.6464,0.1426,317837.7,6165,808,926,861,0.1678,14.186924
